datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_02_03.005,1.774000,28.428,1.804100,29.276,1.734500,27.325,1.760900,28.061
2026_05_08_20_02_04.006,1.774000,28.428,1.804000,29.274,1.734700,27.331,1.761100,28.066
2026_05_08_20_02_05.000,1.774100,28.431,1.804100,29.276,1.734500,27.325,1.760800,28.058
2026_05_08_20_02_06.000,1.774000,28.428,1.804800,29.296,1.734700,27.331,1.760800,28.058
2026_05_08_20_02_07.002,1.773900,28.425,1.804900,29.299,1.734800,27.333,1.761100,28.066
2026_05_08_20_02_08.000,1.774300,28.436,1.805600,29.319,1.734900,27.336,1.761200,28.069
2026_05_08_20_02_09.000,1.775600,28.473,1.805900,29.327,1.736300,27.375,1.762500,28.106
2026_05_08_20_02_10.003,1.782500,28.667,1.806800,29.353,1.741600,27.522,1.769600,28.304
2026_05_08_20_02_11.001,1.795300,29.028,1.810800,29.466,1.751900,27.809,1.782800,28.675
2026_05_08_20_02_12.000,1.802700,29.237,1.817500,29.657,1.759300,28.016,1.792100,28.937
2026_05_08_20_02_13.000,1.806800,29.353,1.823700,29.833,1.764800,28.170,1.798000,29.104
2026_05_08_20_02_14.005,1.809700,29.435,1.828900,29.981,1.768000,28.260,1.801500,29.203
2026_05_08_20_02_15.009,1.812500,29.514,1.832700,30.090,1.770100,28.318,1.804300,29.282
2026_05_08_20_02_16.008,1.814100,29.560,1.836000,30.184,1.771700,28.363,1.806000,29.330
2026_05_08_20_02_17.005,1.815200,29.591,1.838400,30.253,1.773700,28.419,1.806900,29.356
2026_05_08_20_02_18.012,1.816400,29.625,1.840500,30.313,1.775100,28.459,1.808000,29.387
2026_05_08_20_02_19.003,1.817300,29.651,1.842000,30.356,1.776100,28.487,1.808400,29.398
2026_05_08_20_02_20.009,1.817900,29.668,1.843600,30.402,1.777200,28.518,1.808900,29.412
2026_05_08_20_02_21.000,1.818300,29.679,1.844500,30.427,1.777500,28.526,1.809300,29.424
2026_05_08_20_02_22.008,1.819100,29.702,1.845200,30.448,1.778500,28.554,1.810000,29.444
2026_05_08_20_02_23.000,1.819700,29.719,1.846100,30.473,1.779500,28.582,1.810100,29.446
2026_05_08_20_02_24.007,1.820100,29.730,1.846900,30.496,1.780000,28.596,1.810400,29.455
2026_05_08_20_02_25.003,1.821200,29.762,1.847300,30.508,1.780700,28.616,1.810800,29.466
2026_05_08_20_02_26.000,1.821200,29.762,1.848100,30.531,1.781200,28.630,1.810800,29.466
2026_05_08_20_02_27.000,1.821500,29.770,1.848500,30.542,1.781900,28.650,1.811100,29.475
2026_05_08_20_02_28.000,1.821500,29.770,1.848900,30.554,1.782400,28.664,1.811200,29.478
2026_05_08_20_02_29.007,1.821600,29.773,1.849500,30.571,1.782800,28.675,1.811500,29.486
2026_05_08_20_02_30.000,1.822000,29.785,1.849700,30.577,1.783100,28.684,1.811900,29.497
2026_05_08_20_02_31.000,1.822400,29.796,1.850100,30.588,1.783700,28.700,1.811600,29.489
2026_05_08_20_02_32.001,1.823200,29.819,1.850300,30.594,1.784100,28.712,1.811700,29.492
2026_05_08_20_02_33.000,1.823500,29.827,1.850500,30.600,1.784400,28.720,1.812000,29.500
2026_05_08_20_02_34.015,1.823700,29.833,1.850800,30.608,1.785100,28.740,1.812000,29.500
2026_05_08_20_02_35.000,1.824100,29.844,1.851500,30.628,1.785500,28.751,1.812400,29.512
2026_05_08_20_02_36.000,1.824700,29.861,1.851900,30.640,1.785900,28.762,1.812400,29.512
2026_05_08_20_02_37.012,1.824700,29.861,1.852100,30.646,1.786400,28.777,1.812500,29.514
2026_05_08_20_02_38.015,1.824800,29.864,1.852100,30.646,1.786500,28.779,1.812700,29.520
2026_05_08_20_02_39.000,1.825300,29.879,1.852700,30.663,1.787300,28.802,1.813200,29.534
2026_05_08_20_02_40.003,1.825900,29.896,1.853100,30.674,1.787500,28.808,1.813500,29.543
2026_05_08_20_02_41.009,1.825900,29.896,1.853100,30.674,1.787200,28.799,1.813900,29.554
2026_05_08_20_02_42.013,1.825900,29.896,1.853300,30.680,1.787500,28.808,1.814000,29.557
2026_05_08_20_02_43.008,1.826400,29.910,1.853600,30.689,1.787700,28.813,1.813900,29.554
2026_05_08_20_02_44.000,1.826500,29.913,1.854100,30.703,1.787900,28.819,1.814000,29.557
2026_05_08_20_02_45.009,1.827100,29.930,1.854100,30.703,1.788100,28.824,1.814100,29.560
2026_05_08_20_02_46.000,1.827100,29.930,1.854300,30.709,1.788700,28.841,1.814000,29.557
2026_05_08_20_02_47.000,1.827600,29.944,1.854800,30.723,1.789100,28.853,1.814000,29.557
2026_05_08_20_02_48.000,1.827900,29.953,1.854800,30.723,1.789300,28.858,1.814400,29.568
2026_05_08_20_02_49.006,1.828000,29.956,1.855100,30.732,1.789600,28.867,1.814700,29.577
2026_05_08_20_02_50.000,1.828000,29.956,1.855600,30.746,1.789900,28.875,1.814500,29.571
2026_05_08_20_02_51.003,1.828300,29.964,1.856300,30.767,1.789700,28.870,1.814800,29.580
2026_05_08_20_02_52.010,1.828700,29.976,1.856800,30.781,1.789700,28.870,1.815300,29.594
2026_05_08_20_02_53.006,1.828700,29.976,1.856900,30.784,1.790500,28.892,1.815600,29.603
2026_05_08_20_02_54.010,1.828900,29.981,1.856900,30.784,1.790900,28.903,1.816000,29.614
2026_05_08_20_02_55.000,1.829200,29.990,1.857300,30.795,1.791600,28.923,1.816000,29.614
2026_05_08_20_02_56.000,1.830000,30.013,1.857700,30.807,1.792000,28.934,1.816000,29.614
2026_05_08_20_02_57.002,1.830100,30.015,1.857900,30.813,1.792300,28.943,1.816300,29.622
2026_05_08_20_02_58.006,1.830000,30.013,1.858100,30.818,1.792700,28.954,1.816000,29.614
2026_05_08_20_02_59.008,1.830300,30.021,1.858700,30.836,1.792900,28.960,1.816500,29.628
2026_05_08_20_03_00.001,1.830500,30.027,1.858500,30.830,1.793200,28.968,1.816400,29.625
2026_05_08_20_03_01.006,1.831200,30.047,1.859100,30.847,1.793900,28.988,1.816400,29.625
2026_05_08_20_03_02.002,1.831600,30.058,1.859100,30.847,1.794000,28.991,1.816800,29.637
2026_05_08_20_03_03.000,1.831900,30.067,1.859300,30.853,1.794500,29.005,1.816900,29.639
2026_05_08_20_03_04.000,1.832400,30.081,1.859500,30.859,1.794900,29.016,1.817600,29.659
2026_05_08_20_03_05.009,1.832700,30.090,1.859900,30.870,1.794900,29.016,1.817900,29.668
2026_05_08_20_03_06.007,1.833200,30.104,1.859900,30.870,1.795500,29.033,1.818100,29.674
2026_05_08_20_03_07.005,1.833900,30.124,1.860500,30.888,1.795700,29.039,1.818300,29.679
2026_05_08_20_03_08.000,1.834000,30.127,1.860800,30.896,1.796000,29.047,1.817900,29.668
2026_05_08_20_03_09.002,1.834400,30.138,1.861100,30.905,1.796700,29.067,1.818000,29.671
2026_05_08_20_03_10.001,1.834800,30.150,1.861500,30.916,1.796800,29.070,1.818100,29.674
2026_05_08_20_03_11.008,1.835100,30.158,1.861700,30.922,1.796900,29.073,1.819100,29.702
2026_05_08_20_03_12.005,1.835600,30.173,1.862000,30.931,1.796900,29.073,1.818900,29.696
2026_05_08_20_03_13.009,1.836000,30.184,1.862100,30.934,1.797600,29.092,1.819200,29.705
2026_05_08_20_03_14.010,1.836400,30.195,1.862100,30.934,1.797700,29.095,1.819200,29.705
2026_05_08_20_03_15.000,1.836700,30.204,1.862500,30.945,1.797600,29.092,1.819600,29.716
2026_05_08_20_03_16.001,1.836800,30.207,1.862900,30.957,1.798100,29.107,1.819900,29.725
2026_05_08_20_03_17.005,1.836800,30.207,1.863300,30.968,1.798500,29.118,1.820400,29.739
2026_05_08_20_03_18.000,1.837200,30.218,1.863600,30.977,1.798800,29.126,1.820400,29.739
2026_05_08_20_03_19.001,1.837500,30.227,1.864300,30.997,1.799300,29.141,1.820700,29.748
2026_05_08_20_03_20.006,1.838000,30.241,1.864300,30.997,1.799700,29.152,1.820800,29.750
2026_05_08_20_03_21.001,1.838300,30.250,1.864700,31.009,1.799900,29.158,1.821100,29.759
2026_05_08_20_03_22.007,1.838900,30.267,1.864900,31.015,1.799900,29.158,1.821500,29.770
2026_05_08_20_03_23.000,1.839100,30.273,1.865200,31.023,1.800100,29.163,1.821900,29.782
2026_05_08_20_03_24.008,1.839300,30.278,1.865500,31.032,1.800500,29.174,1.822300,29.793
