datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_02_03.005,1.641300,24.763,1.624400,24.303,1.530000,21.756,1.630300,24.464
2026_05_08_20_02_04.006,1.641200,24.760,1.623700,24.284,1.529900,21.754,1.629900,24.453
2026_05_08_20_02_05.000,1.641700,24.774,1.623100,24.268,1.529500,21.743,1.630000,24.455
2026_05_08_20_02_06.000,1.642400,24.793,1.622500,24.252,1.529900,21.754,1.630100,24.458
2026_05_08_20_02_07.003,1.641900,24.779,1.621700,24.230,1.530000,21.756,1.630000,24.455
2026_05_08_20_02_08.000,1.642000,24.782,1.620400,24.195,1.530300,21.765,1.630100,24.458
2026_05_08_20_02_09.000,1.642900,24.806,1.619100,24.159,1.530400,21.767,1.630400,24.466
2026_05_08_20_02_10.003,1.646000,24.891,1.618000,24.130,1.530400,21.767,1.630400,24.466
2026_05_08_20_02_11.001,1.657200,25.197,1.616900,24.100,1.530900,21.781,1.630500,24.469
2026_05_08_20_02_12.000,1.667600,25.481,1.616700,24.094,1.531100,21.786,1.630500,24.469
2026_05_08_20_02_13.000,1.673600,25.645,1.616100,24.078,1.531900,21.807,1.630000,24.455
2026_05_08_20_02_14.005,1.677900,25.763,1.614900,24.045,1.532400,21.821,1.629900,24.453
2026_05_08_20_02_15.009,1.680900,25.845,1.614100,24.024,1.532900,21.834,1.630700,24.474
2026_05_08_20_02_16.008,1.682800,25.898,1.613600,24.010,1.533700,21.856,1.630500,24.469
2026_05_08_20_02_17.005,1.684800,25.952,1.613100,23.997,1.534800,21.885,1.630800,24.477
2026_05_08_20_02_18.012,1.686300,25.994,1.611500,23.953,1.535600,21.907,1.631200,24.488
2026_05_08_20_02_19.003,1.687500,26.027,1.609600,23.902,1.536300,21.926,1.631600,24.499
2026_05_08_20_02_20.009,1.688400,26.051,1.608400,23.869,1.537200,21.950,1.631700,24.502
2026_05_08_20_02_21.000,1.689300,26.076,1.608300,23.867,1.538000,21.971,1.631700,24.502
2026_05_08_20_02_22.008,1.690000,26.095,1.607900,23.856,1.537700,21.963,1.631700,24.502
2026_05_08_20_02_23.000,1.690700,26.115,1.607100,23.834,1.537700,21.963,1.631900,24.507
2026_05_08_20_02_24.007,1.691300,26.131,1.606300,23.812,1.537600,21.960,1.632300,24.518
2026_05_08_20_02_25.003,1.692000,26.150,1.604900,23.774,1.537600,21.960,1.632700,24.529
2026_05_08_20_02_26.000,1.692300,26.159,1.604100,23.753,1.538300,21.979,1.632700,24.529
2026_05_08_20_02_27.000,1.692700,26.170,1.603300,23.731,1.538700,21.990,1.633100,24.540
2026_05_08_20_02_28.000,1.693500,26.192,1.602800,23.718,1.538500,21.985,1.633200,24.542
2026_05_08_20_02_29.012,1.693500,26.192,1.602500,23.710,1.539300,22.006,1.633600,24.553
2026_05_08_20_02_30.000,1.693900,26.203,1.602900,23.720,1.540100,22.028,1.633600,24.553
2026_05_08_20_02_31.000,1.694100,26.208,1.603700,23.742,1.540400,22.036,1.633900,24.561
2026_05_08_20_02_32.000,1.694100,26.208,1.603700,23.742,1.540400,22.036,1.634300,24.572
2026_05_08_20_02_33.000,1.694700,26.225,1.603200,23.728,1.540500,22.038,1.634900,24.589
2026_05_08_20_02_34.015,1.695100,26.236,1.603300,23.731,1.541200,22.057,1.635600,24.608
2026_05_08_20_02_35.000,1.695600,26.249,1.603200,23.728,1.542500,22.092,1.635600,24.608
2026_05_08_20_02_36.000,1.695600,26.249,1.602900,23.720,1.543200,22.111,1.635600,24.608
2026_05_08_20_02_37.012,1.695600,26.249,1.603600,23.739,1.544000,22.132,1.635900,24.616
2026_05_08_20_02_38.015,1.695500,26.247,1.604500,23.764,1.544900,22.157,1.636000,24.619
