datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_28_38.000,2.062900,36.970,2.001500,35.066,1.640500,24.741,,
2026_05_08_20_28_39.007,2.062000,36.941,2.000300,35.030,1.639100,24.703,,
2026_05_08_20_28_40.003,2.061500,36.926,1.999500,35.005,1.637600,24.662,,
2026_05_08_20_28_41.000,2.061200,36.916,1.999900,35.017,1.636100,24.621,,
2026_05_08_20_28_42.006,2.060300,36.888,2.000100,35.024,1.635900,24.616,,
2026_05_08_20_28_43.000,2.060000,36.878,2.000500,35.036,1.635700,24.610,,
2026_05_08_20_28_44.009,2.060000,36.878,2.001600,35.069,1.634100,24.567,,
2026_05_08_20_28_45.000,2.059100,36.850,2.001900,35.078,1.632400,24.521,,
2026_05_08_20_28_46.000,2.059900,36.875,2.000300,35.030,1.632700,24.529,,
2026_05_08_20_28_47.000,2.060800,36.904,2.000700,35.042,1.635300,24.600,,
2026_05_08_20_28_48.001,2.062000,36.941,2.001700,35.072,1.636700,24.638,,
2026_05_08_20_28_49.000,2.061900,36.938,2.001500,35.066,1.637300,24.654,,
2026_05_08_20_28_50.009,2.060800,36.904,2.002000,35.082,1.638700,24.692,,
2026_05_08_20_28_51.001,2.060500,36.894,2.002100,35.085,1.641200,24.760,,
2026_05_08_20_28_52.009,2.061300,36.919,2.001700,35.072,1.642800,24.804,,
2026_05_08_20_28_53.009,2.062700,36.963,2.002400,35.094,1.641300,24.763,,
2026_05_08_20_28_54.000,2.063600,36.992,2.003200,35.118,1.639700,24.719,,
2026_05_08_20_28_55.000,2.063500,36.988,2.003300,35.121,1.639700,24.719,,
2026_05_08_20_28_56.006,2.062500,36.957,2.002700,35.103,1.640400,24.738,,
2026_05_08_20_28_57.000,2.062100,36.944,2.002900,35.109,1.641700,24.774,,
2026_05_08_20_28_58.000,2.063300,36.982,2.002800,35.106,1.641100,24.757,,
2026_05_08_20_28_59.008,2.064100,37.007,2.002300,35.091,1.639700,24.719,,
2026_05_08_20_29_00.001,2.063600,36.992,2.002300,35.091,1.638900,24.698,,
2026_05_08_20_29_01.000,2.062300,36.951,2.003500,35.127,1.637900,24.670,,
2026_05_08_20_29_02.000,2.062500,36.957,2.004100,35.146,1.636900,24.643,,
2026_05_08_20_29_03.009,2.063700,36.995,2.003300,35.121,1.635900,24.616,,
2026_05_08_20_29_04.001,2.064300,37.014,2.003600,35.130,1.634900,24.589,,
2026_05_08_20_29_05.015,2.065600,37.055,2.004000,35.143,1.634400,24.575,,
2026_05_08_20_29_06.000,2.066100,37.070,2.002700,35.103,1.633900,24.561,,
2026_05_08_20_29_07.006,2.066400,37.080,2.001300,35.060,1.632900,24.534,,
2026_05_08_20_29_08.007,2.066100,37.070,2.001200,35.057,1.631700,24.502,,
2026_05_08_20_29_09.003,2.066300,37.077,2.001900,35.078,1.630000,24.455,,
2026_05_08_20_29_10.004,2.066000,37.067,2.002400,35.094,1.628700,24.420,,
2026_05_08_20_29_11.004,2.065100,37.039,2.002800,35.106,1.628700,24.420,,
2026_05_08_20_29_12.010,2.064900,37.033,2.003200,35.118,1.628800,24.423,,
2026_05_08_20_29_13.011,2.065600,37.055,2.002700,35.103,1.631300,24.491,,
2026_05_08_20_29_14.000,2.066300,37.077,2.002000,35.082,1.635200,24.597,,
2026_05_08_20_29_15.003,2.066500,37.083,2.002400,35.094,1.640000,24.727,,
2026_05_08_20_29_16.005,2.066900,37.096,2.002400,35.094,1.641200,24.760,,
2026_05_08_20_29_17.018,2.066000,37.067,2.002900,35.109,1.640900,24.752,,
2026_05_08_20_29_18.000,2.065100,37.039,2.004000,35.143,1.639300,24.708,,
2026_05_08_20_29_19.000,2.064500,37.020,2.004400,35.155,1.639500,24.714,,
2026_05_08_20_29_20.011,2.064000,37.004,2.004700,35.164,1.640400,24.738,,
2026_05_08_20_29_21.000,2.064900,37.033,2.003900,35.140,1.641500,24.768,,
2026_05_08_20_29_22.000,2.064500,37.020,2.001900,35.078,1.642700,24.801,,
2026_05_08_20_29_23.000,2.064000,37.004,2.000100,35.024,1.642100,24.785,,
2026_05_08_20_29_24.000,2.064400,37.017,2.001600,35.069,1.640800,24.749,,
2026_05_08_20_29_25.005,2.065700,37.058,2.003700,35.133,1.639600,24.717,,
2026_05_08_20_29_26.000,2.065700,37.058,2.004800,35.167,1.639100,24.703,,
2026_05_08_20_29_27.000,2.065500,37.051,2.004300,35.152,1.639700,24.719,,
